path,text,speaker_id
clf_09334_01278378087.wav,La vigencia de tu tarjeta es de ocho meses,9334
clf_09697_00015596584.wav,Tranquilo va a estar todo bien,9697
clf_09697_01505655474.wav,Me gusta mucho caminar por el campo y tomarle fotos a la naturaleza,9697
clf_05223_01932544320.wav,Está muy cansado,5223
clf_05223_01306330742.wav,Tú sabes si esta persona ha presentado este tipo de obras artísticas en otros países ?,5223
clf_09334_01292771863.wav,Verifique su instalación eléctrica,9334
clf_07508_00333068529.wav,Hay muchas tiendas de ropa en el centro.,7508
clf_07508_01976346265.wav,Últimamente he visto muchas bicicletas rojas.,7508
clf_01523_01971359555.wav,¿Te gusta esquiar?,1523
clf_08784_01033702664.wav,¿Sabes hacer salmón ahumado?,8784
clf_01523_00527666780.wav,Tengo esta imagen en la cabeza que es un mural medio futurista,1523
clf_01523_00730116429.wav,Tengo esta imagen en la cabeza de que es un mural medio cubista,1523
clf_06136_00460588802.wav,Nuria podrías proponerme alguna obra de teatro para esta noche,6136
clf_02484_01477443958.wav,Uf Carla que calor me estoy ahogando,2484
clf_09334_00848514650.wav,Mi hija va a cumplir años en tres días y le estoy buscando un regalo,9334
clf_04310_00660286119.wav,Por las tardes se escucha música en la Plaza.,4310
clf_07508_00901395446.wav,La granizada destruyó toda la plantación de lechuga,7508
clf_08421_01942027502.wav,No se hablar tamil,8421
clf_09697_00864715113.wav,Tengo muchos negativos de treinta y cinco milímetros,9697
clf_04310_00528473547.wav,Jose Luis quisiera comprar dólares,4310
clf_08421_00388834739.wav,Los zapatos se estropearon con la lluvia torrencial de ayer,8421
clf_07049_01518316390.wav,Se rompió la mesa de la cocina y no se como arreglarla,7049
clf_01523_00393444149.wav,Se rompió la silla de la sala y no se como arreglarla,1523
clf_07049_00010659932.wav,Los pasajes cuestan alrededor de veinte euros,7049
clf_06136_00064603381.wav,Estoy buscando un restaurante de cocina tradicional,6136
clf_01523_00603290448.wav,Me preocupa la inminente temporada de huracanes,1523
clf_08784_01976865261.wav,La mejor colección de autómatas Rusos está en Madrid,8784
clf_05223_00386130384.wav,¿Tengo que pasar alguna prueba?,5223
clf_09697_01700234695.wav,La obscuridad del pozo era obscena por naturaleza,9697
clf_09697_00597068361.wav,Hay una revista llamada La Gaceta del Humor que dice que el vuelo iban tres de sus amantes,9697
clf_04310_01762965530.wav,Quiero hacer una compra en línea para ayudar a los damnificados,4310
clf_07049_01102304623.wav,Lo puedes pasar en la tarjeta de American Express,7049
clf_00610_00041705766.wav,Si busca bajar de peso los carbohidratos no son una buena opción,610
clf_08784_01181008270.wav,Algunos científicos no creen que el hombre llegó a la luna,8784
clf_05223_00525380311.wav,¿Quieren o no quieren comer en casa?,5223
clf_06136_01778437034.wav,¿Hay fútbol femenino en México?,6136
clf_02484_01730427509.wav,Lo del parque me gusto porque hay árboles y ahí me puedo quedar bajo la sombra y me tomo un té frío,2484
clf_09334_00179064735.wav,El jeroglífico tiene un pez amarillo,9334
clf_07049_00579130201.wav,¿Cuánto me demoro de aquí a Santiago en tren?,7049
clf_03397_00856365057.wav,En este momento estoy enviando a sus correos unos links para unas meditaciones en You Tube,3397
clf_06136_01501927969.wav,¿Su gol fue de chilena o fue tiro de esquina?,6136
clf_02484_00024355877.wav,¿En qué calle está la casa?,2484
clf_07508_00694467490.wav,En cada estación de bicicleta insertas tu tarjeta y te indica la bicicleta que puedes usar.,7508
clf_06136_01260328342.wav,La ciudad de Madrid ha cambiado mucho en los últimos años,6136
clf_07049_01236578591.wav,Siempre me ha gustado el color verde esmeralda,7049
clf_07508_01787073206.wav,El tráfico está terrible es imposible llegar a tiempo.,7508
clf_07049_01313924328.wav,Haz la compra por favor y me la mandas a mi casa,7049
clf_07508_00756533165.wav,Las teclas del computador necesitan estar desgastadas para la grabación,7508
clf_08784_00133531365.wav,Te recomiendo que veas las películas de Fellini.,8784
clf_04310_01748332092.wav,Los hámsters comen zanahorias,4310
clf_09697_01491423676.wav,Te aconsejo que lleves un abrigo de lana,9697
clf_09334_01843788383.wav,Los cabecillas de la banda huyeron a caballo,9334
clf_07508_01419065519.wav,El jeroglífico tiene un pez amarillo,7508
clf_08784_00539160787.wav,¿Cuándo sucedió la Primera Guerra Mundial?,8784
clf_07508_00672452374.wav,Estamos en la parte de la escena donde la actriz está usando su PC.,7508
clf_00610_01417733772.wav,Mañana va a hacer mucho calor,610
clf_07508_00074983568.wav,"Cómprala y que le llegue a su domicilio, que es un regalo sorpresa.",7508
clf_01523_01265284343.wav,Los salamis que hacen en esa zona son deliciosos,1523
clf_09697_00445711193.wav,¿Cuáles son las principales diferencias?,9697
clf_06136_00613684270.wav,Aproveche su día al máximo,6136
clf_07049_00147359157.wav,La calle está llena de hoyos,7049
clf_01523_01159800008.wav,"¿Natalia, quisieras viajar a Madrid en los próximos días?",1523
clf_08784_00493618474.wav,La película me llegó al corazón,8784
clf_03397_00788571676.wav,Resérvame cinco entradas por favor para la función de las once y veinte,3397
clf_05223_00911365535.wav,Lo principal de este restaurante es que tiene un amplio menú,5223
clf_07049_01139443857.wav,¿Hay algún vuelo más barato pasando por Los Ángeles?,7049
clf_08421_00881175643.wav,Las coles de Bruselas no me gustan,8421
clf_00610_02117768201.wav,"Quiero sacar dinero en efectivo, ¿cuál es el cajero automático más cercano?",610
clf_01523_00799821343.wav,La película me llegó al corazón,1523
clf_05223_01906425896.wav,"Ayer llovió mucho, y llegue tarde a mi reunión",5223
clf_06136_01297566676.wav,Veracruz se encuentra situada en la costa del Golfo de México,6136
clf_07049_01255341441.wav,Me gustaría una batería para el celular y para el auto,7049
clf_04310_00599115478.wav,Edgar quisiera hacer un depósito a la cuenta de mi primo,4310
clf_01523_01260678377.wav,Tocar el xilófono es mi hobby favorito,1523
clf_09697_00823205185.wav,El jeroglífico tiene un pez amarillo,9697
clf_07508_02051536885.wav,Las compañías de telefono ganan muchísimo dinero.,7508
clf_03397_00831082347.wav,¿Quiere que revise su estado de cuenta y los depósitos que ha hecho en el último mes?,3397
clf_07049_01742021195.wav,No te entiendo nada,7049
clf_09334_02054103547.wav,Quisiera reservar siete pasajes en clase turista,9334
clf_09334_02005952417.wav,Los sandwich están fríos,9334
clf_07508_01819590734.wav,No me acuerdo como se llamaba la exposición que vi en el museo.,7508
clf_08421_01633739935.wav,"Ayer llovió mucho, y llegue tarde a mi reunión",8421
clf_08784_00549472299.wav,Casi todos los museos de Estados Unidos abren todos días.,8784
clf_06136_00100643317.wav,¿Quién subió el mejor video?,6136
clf_08421_01883355600.wav,"¿Buscas un cuarto, un departamento o una casa?",8421
clf_08784_00179033968.wav,Tocar el xilófono es mi hobby favorito,8784
clf_08421_00178097563.wav,¿Conoces la información nutricional de la pizza vegetariana?,8421
clf_00610_01757702109.wav,Más o menos se tarda dos horas en hacer ese postre,610
clf_08784_00399166945.wav,"Ayer llovió mucho, y llegue tarde a mi reunión",8784
clf_09334_00152069413.wav,Lo interesante de su educación es que ella no quería ser actriz quería ser psicóloga,9334
clf_02484_01397934056.wav,"¿Qué me recomendarías, un acuario de agua salada o de agua dulce?",2484
clf_07508_01239198941.wav,¿Quién subió el mejor video?,7508
clf_08421_00621771614.wav,Creo que tiene rota la tibia y el peroné,8421
clf_01523_00431557878.wav,Se rompió el lavamanos y no se como arreglarlo,1523
clf_09334_01111393569.wav,Vamos a usar la APP de la embajada de Francia que es para gente que no sabe nada de Frances,9334
clf_07049_02013596778.wav,Los salames que hacen en esa zona son deliciosos,7049
clf_09697_01142039357.wav,Estoy en busca de una escuela para estudiar ciencias de la computación y lingüística,9697
clf_09334_01351372575.wav,¿Qué otras opciones de escuela tengo?,9334
clf_06136_00977502898.wav,La ciudad de Lisboa no ha cambiado nada en los últimos años,6136
clf_07508_02043845297.wav,Los cabecillas de la banda huyeron a caballo,7508
clf_01523_00471187977.wav,Le recomiendo los fiordos Noruegos,1523
clf_04310_00382329081.wav,¿Cuáles son las principales diferencias?,4310
clf_09334_01117054287.wav,Esa palabra viene del latín tardío,9334
clf_07508_00537503554.wav,No se si te vaya a ver mañana.,7508
clf_04310_01789540597.wav,La conferencia es sobre la importancia del aseo personal en el trabajo,4310
clf_07049_00456046544.wav,Necesito un smartphone,7049
clf_07508_01927763140.wav,El caballo está amarrado,7508
clf_05223_02066409610.wav,En mi próxima vida no quiero ser humano,5223
clf_09697_00209183770.wav,¿Qué daños ha dejado el huracán?,9697
clf_01523_01637115198.wav,Vamos a usar la app de la embajada de Egipto que es para gente que no sabe nada de Arabe,1523
clf_02484_00192583672.wav,Los niños tienen mucha imaginación,2484
clf_08421_00694559372.wav,Los niños tienen mucha imaginación,8421
clf_08784_01295319133.wav,La pronunciación del francés es difícil,8784
clf_06136_00013257401.wav,Ojalá pudiéramos invitar a esta reunión con la señora Arias a varios pintores,6136
clf_02484_01136891641.wav,No me gustan los gatos porque soy alérgico y los perros me dan sarpullido,2484
clf_07508_00226314311.wav,Las temáticas de la últimas exposiciones en el museo han sido poco variadas.,7508
clf_03397_01221231229.wav,¿Me puedes mandar unas imágenes de tu perro?,3397
clf_02484_02041950187.wav,"Geográficamente hablando es un lugar de muchos relieves, hay valles, hay montañas, hay cerros y hay cascadas",2484
clf_09697_00796594744.wav,Los corazones de pollo son una delicia,9697
clf_00610_00567603520.wav,Según mis datos este domingo veinticinco de Diciembre no hay partidos de fútbol,610
clf_08784_01936599589.wav,¿Cómo va el juego de tenis?,8784
clf_09697_01519350159.wav,Creo que este es el tour que te va a convenir,9697
clf_08421_01763212951.wav,En este momento están a punto de estrenarse varias películas de terror,8421
clf_04310_01855056890.wav,Tiene el tiempo contado,4310
clf_03397_01329926118.wav,¿Tengo que pasar alguna prueba?,3397
clf_07508_01099585236.wav,Mi conexión de internet es muy mala.,7508
clf_03397_00301901936.wav,La mermelada de zarzamora es muy fácil de hacer,3397
clf_06136_00569251220.wav,Los niños tienen mucha imaginación,6136
clf_00610_00800782811.wav,Para hacer esa receta necesitas aceite de oliva y aceite de girasol,610
clf_01523_00669515167.wav,"Le recomiendo que vaya preparado con paraguas, y bebidas calientes",1523
clf_09334_01365520019.wav,Lo primero que tiene que armar es el trípode,9334
clf_00610_00519867994.wav,El otro día me comí un arroz con calamares,610
clf_08421_00576537549.wav,A mi esposo le encantaría ir al festival de cine de Venecia,8421
clf_09697_01047088642.wav,Estoy viendo que los asistentes a las conferencias que vas a dar vienen de distintos lugares del país ¿cierto?,9697
clf_04310_02098446546.wav,Me parece muy interesante el libro de Francisco sobre arte contemporáneo,4310
clf_09334_01710865467.wav,Esa palabra no tiene un origen conocido,9334
clf_01523_01588619669.wav,¿Cómo se alimenta a una tarántula?,1523
clf_03397_01842599013.wav,Me parece muy interesante la información,3397
clf_09697_00264093516.wav,La película me llegó al corazón,9697
clf_01523_01268985074.wav,Juegan un fútbol muy profesional muy serio y están aceptando gente estos días,1523
clf_06136_01497820408.wav,San Francisco se encuentra situada en la costa oeste de los Estados Unidos,6136
clf_07508_00333530561.wav,"Puedes moverte muy fácil con la bici, desde distancias cortas hasta largas.",7508
clf_04310_01808113095.wav,Para hacer esa receta necesitas carne de buena calidad,4310
clf_04310_01466577523.wav,Para hacer esta receta necesitas tres tomates y caldo de pollo frío,4310
clf_01523_01044884775.wav,El jeroglífico tiene un pez amarillo,1523
clf_08784_01607057030.wav,Hazme un análisis sobre las críticas de la película Y Tú Mamá También.,8784
clf_00610_01623587873.wav,Mañana va a nevar al amanecer y en la tarde caerá granizo,610
clf_04310_00862338601.wav,Me parece muy interesante el libro de Ana sobre pintura rupestre,4310
clf_07049_00994281900.wav,Científicos de la universidad han encontrado que esa sustancia se encuentra en unas piedras,7049
clf_08784_00932066332.wav,¿Te interesa el teatro cabaret?,8784
clf_06136_01729306494.wav,El paso número cuatro para eliminar el calor es quedarse en casa con el ventilador prendido,6136
clf_05223_00199920660.wav,¿Quiere que compre algún tipo de entrada o reserva?,5223
clf_07508_01121333498.wav,La tienda de jabones y perfumes finos tiene regalos para el día de las mamá.,7508
clf_09334_00409747678.wav,Los gatos duermen casi todo el día y hacen sus necesidades solo una vez al día,9334
clf_07508_01427048181.wav,¿Me puedes decir que telefono debo comprar?,7508
clf_09697_01683085692.wav,Ahora chequeo la información que me mandaste y lo resuelvo,9697
clf_03397_00679095171.wav,¿Me puedes mandar unas fotos de el estadio de fútbol?,3397
clf_09334_00811571306.wav,La calle está llena de hoyos,9334
clf_09334_01073033291.wav,No te entiendo nada,9334
clf_08784_01378039714.wav,¿Has volado en avioneta?,8784
clf_06136_01684847616.wav,El fútbol Iraní ha evolucionado a niveles nunca antes vistos,6136
clf_09697_00223580375.wav,Los sandwich están fríos,9697
clf_07508_00282947164.wav,Quiero comprar un regalo significativo.,7508
clf_08784_00719705675.wav,¿Conoces algún país que no tenga fronteras?,8784
clf_04310_01841901116.wav,Tradicionalmente la comida portuguesa se acompaña con agua mineral con gas,4310
clf_03397_02140772298.wav,"Me han dicho que el director es medio intenso con los actores, que los procesos son bastante largos",3397
clf_08421_00409189443.wav,Estoy buscando de acuerdo a tu presupuesto,8421
clf_08421_00490594468.wav,¿En qué calle está la casa?,8421
clf_07508_00682922429.wav,Necesitamos encontrar un notebook rojo para esta tarde.,7508
clf_09697_00666333341.wav,Los hámsters comen zanahorias,9697
clf_08784_00132627893.wav,¿Quién subió el mejor video?,8784
clf_02484_01827576065.wav,Acuérdate que lo primero que hay que hacer para que las cosas salgan bien es respirar y con eso vas a lograr salir adelante,2484
clf_05223_00754937104.wav,Tiene el tiempo contado,5223
clf_09334_01204187746.wav,Por las tardes se escucha música en la Plaza.,9334
clf_01523_01891871073.wav,Mañana va a estar nublado por la mañana,1523
clf_02484_00378163399.wav,Los sándwiches están frío,2484
clf_08421_01409785678.wav,¿Cuál fue el último disco que grabaron?,8421
clf_04310_00461112180.wav,Tienen que estar cuarenta y cinco minutos antes de la función para recoger las entradas,4310
clf_06136_01972255775.wav,Para hacer esa receta no necesitas mucha pimienta negra,6136
clf_01523_01945641384.wav,Quiero mi asiento en el pasillo,1523
